id	occurrences	char	shape_id
g0	11662	理	589441ea47bba26e
g1	10098	出	124cee73c89b2528
g2	9868	実	dfd65c46313f464d
g3	8982	監	685dc57f9fb9e52b
g4	8916	面	53b5cf98cecdfab7
g5	8872	督	48b6be80e3372648
g6	8132	画	c0a03d0b8f50956e
g7	7904	充	a583e86a8e2281ad
g8	7882	処	60dc27038acfaf65
g9	6870	植	e839ec4300450147
g10	6798	何	8c019bde8062ad05
g11	6784	当	801181df265f9f74
g12	6246	現	af94211e3c73c617
g13	5652	成	3d34322f3ab24df5
g14	5570	思	6e38aa9cfe574d44
g15	5278	制	7344f7078bc63ee3
g16	5172	新	4e7189c64f53e89f
g17	5002	速	5830cbf33d80387f
g18	4874	振	c1b0bdceadbe7efc
g19	4616	私	16f9a22af4f33cb1
g20	4598	色	af9fae5110040aab
g21	4522	分	08f6bee7299e8a32
g22	4366	司	5b7ef6585bd061c5
g23	4262	武	71ddf0b6955ebcfa
g24	4244	洋	291b7043999ad177
g25	4242	川	bbd2e26751d5ba18
g26	4030	高	8d49c9f7618e7cbb
g27	3856	最	76e2fb5d70b7fa00
g28	3764	関	4c83a3cab4bde6b6
g29	3610	言	edc9ab8d03c68f5b
g30	3456	違	726daf7de48e9297
g31	3280	数	6ce4c1d9f9d5925f
g32	3242	顔	898dad1f2f520f33
g33	3208	多	a98a3ee23c994d97
g34	3024	限	a465ac22ff0755d5
g35	3022	果	b1b6e01e3ba68d35
g36	3012	本	2294068c605b6d10
g37	3002	効	4a5a175703c88789
g38	2982	切	49fc009e1595f13c
g39	2894	際	1a8a41c80b313190
g40	2794	立	88e3baf13bdb11f2
g41	2758	込	ae2319afd7373cb3
g42	2756	山	717379d336efd78a
g43	2728	代	8c03a5834f9af3a9
g44	2710	角	f4545fcec59f1a51
g45	2710	部	df262fc66c4fc818
g46	2692	通	af7be6e5cad6f56b
g47	2688	替	b19d8bfa526c7ecd
g48	2646	以	e317d6f690756bc6
g49	2632	量	e626b85228fc9986
g50	2606	算	e703de0af828f69d
g51	2604	誠	377b63ed5d3508d7
g52	2572	是	c15cbd49536852e0
g53	2468	二	42cce1e987979c70
g54	2458	計	8010db08abe93751
g55	2456	今	f5576456cc671858
g56	2420	結	637f7d3f47ebb449
g57	2336	村	aa0b969890205b35
g58	2332	良	42fb4ecf9a1853cb
g59	2320	縮	8365d8ae68018d18
g60	2314	役	50953813d798d319
g61	2306	水	67669a78e5758a00
g62	2258	報	dc85b7e21035f10e
g63	2230	適	b41e5a8893e06448
g64	2228	追	ed8b642a3d4d00bb
g65	2178	社	ac127dc0f4f3e8bd
g66	2162	楽	f08fe6583d24cf42
g67	2140	張	2994d66a7dd224bb
g68	2080	細	45ab5bbceb2586ed
g69	2080	描	a9636990a68fc63f
g70	2080	園	bcf69411d484a777
g71	2064	覚	49c4f26dda37d8c4
g72	2022	慮	cbe1d0e1c29a75b1
g73	2008	極	7cc791260b291a9e
g74	1934	来	729a78bc376ec897
g75	1888	常	b89c79e4fc7b97b8
g76	1880	名	8db545f52fc8904a
g77	1870	苦	d65bd6c008fa62ef
g78	1826	話	efcfe7fa4b393b8f
g79	1808	岡	0d3d634b84528d93
g80	1790	番	1502ecbf71b2c479
g81	1776	観	c528609326a56bb8
g82	1720	労	490d4b874d33429d
g83	1712	田	4a3e100897e72158
g84	1664	由	33086633353cb29a
g85	1660	短	53fff9bb91426c50
g86	1656	肩	996f443be87e8f93
g87	1652	加	84d12eab0b094781
g88	1648	任	ed306a3bbac653de
g89	1642	軽	175ae0b7c5218c55
g90	1634	波	9ce5dc98ca8906a8
g91	1622	他	a99ecca5bd2efeaf
g92	1620	平	4b3476a25b4eed99
g93	1612	豊	1a0232bea23f26fa
g94	1596	験	9c462a545d9981b6
g95	1548	素	07327cea4793c9ba
g96	1532	元	1e4ab6c5c10ba355
g97	1508	嶋	39231b8061c86ccc
g98	1508	滋	a71df824fcd594dc
g99	1498	為	cf5a273cc1503284
g100	1468	某	2d17be26141f95e3
g101	1468	読	2df6951b8e3b726b
g102	1466	想	508c9cb6a69e6afa
g103	1444	逃	0a64aad3d8c38713
g104	1440	聡	b36a58709154b5fa
g105	1438	引	9a98823042e48450
g106	1426	個	ba467e01b4eaee3e
g107	1420	版	8e62d19a9cddb6a8
g108	1420	国	914d2d3c8968f656
g109	1410	誰	a38bc0684912c212
g110	1386	海	e3ae5a7735d5b799
g111	1386	記	ef199a5fab234706
g112	1382	如	8cb0784847fc92e3
g113	1380	種	af6f6ba669897ef9
g114	1374	会	23883544a6c6c328
g115	1372	小	d621b75eed1d060e
g116	1370	図	922c4e7168a523e5
g117	1364	哉	8f9f729327dc9450
g118	1340	目	ce176168f268866b
g119	1312	衣	91eecccb8045cc97
g120	1290	仕	440bd6f611d47741
g121	1290	始	4e9cfa1cbccf55a0
g122	1260	心	c7698edee59eaf67
g123	1230	世	f04afa9b0b1d2952
g124	1222	重	c5f6e11dab55734d
g125	1218	足	0aa29e33a723ca24
g126	1206	考	c1e9b87f92953eb5
g127	1186	念	84ffe6d45a629fc2
g128	1186	首	3feddf10be411fe4
g129	1144	呼	f55834737d093ac4
g130	1144	下	fbcb47ef8e18970b
g131	1134	響	0556f035ac169e5a
g132	1130	闘	e9715a7a05d4a3d0
g133	1118	伝	9f5c0a2bd6543240
g134	1106	程	706695002a8f22ab
g135	1100	情	643c4a454bc7ac63
g136	1092	究	a44dd008c59cfe6a
g137	1092	研	b26775b652b6ed7f
g138	1086	遊	f49645d1d456a79f
g139	1086	説	9806703f6cebcab9
g140	1084	君	5c0617fed3725dd9
g141	1084	聞	edcc6df6d52e3e70
g142	1060	口	31e5e86379cb6029
g143	1060	主	cf34809c71e61471
g144	1040	態	fd986f2302a393aa
g145	1040	許	612e72e4155944d0
g146	1018	士	1672e04381950748
g147	1016	再	693bd26293b6e1c2
g148	980	正	2af2cfc041fea58c
g149	966	反	22f23e0e0fe308fe
g150	944	信	c057a0ae944cbd2a
g151	944	英	f23ea7a437128e0e
g152	942	担	45a9b99928ae7548
g153	938	壁	35309693455c185e
g154	934	和	eb24532a7257f0d5
g155	928	節	6341b4b999003c81
g156	906	廃	72995e651944dadc
g157	906	忍	5e6a637cb751c130
g158	896	語	8d569de6b39a5709
g159	892	鳴	7ed067bf753edeb1
g160	874	残	9d07e62c48c2f224
g161	856	随	b99fd17b205eff7b
g162	846	掛	8b3671b3686fa32f
g163	828	配	d2094c5a870cd429
g164	798	僕	90658c21be11c32b
g165	796	予	0454ed3ddde2d987
g166	796	法	5f434234740dd83d
g167	792	右	f6ebe3499e2529f1
g168	784	況	2e4f236cdf1619c0
g169	776	給	147c21aa9dddd13d
g170	776	乗	bab3e17b3307e87a
g171	774	背	b4e677982329c931
g172	764	密	db99c7a1be2a18bb
g173	760	供	a19e6cdc0a5a1d43
g174	756	犬	5ffc11cbdfb75ad9
g175	756	圧	8e0af381854fb8c7
g176	752	頂	bb8df549acf639ff
g177	742	左	05c15273762aa6a2
